number	accession	filename
82	ERR4588711	82_ERR4588711_db3.bracken.kraken2.report_bracken.txt
83	ERR4588715	83_ERR4588715_db3.bracken.kraken2.report_bracken.txt
84	ERR4588716	84_ERR4588716_db3.bracken.kraken2.report_bracken.txt
85	ERR4588717	85_ERR4588717_db3.bracken.kraken2.report_bracken.txt
86	ERR4588721	86_ERR4588721_db3.bracken.kraken2.report_bracken.txt
87	ERR4588726	87_ERR4588726_db3.bracken.kraken2.report_bracken.txt
88	ERR4588730	88_ERR4588730_db3.bracken.kraken2.report_bracken.txt
89	ERR4588735	89_ERR4588735_db3.bracken.kraken2.report_bracken.txt
90	ERR4588739	90_ERR4588739_db3.bracken.kraken2.report_bracken.txt
91	ERR4588741	91_ERR4588741_db3.bracken.kraken2.report_bracken.txt
92	ERR4588743	92_ERR4588743_db3.bracken.kraken2.report_bracken.txt
93	ERR4588745	93_ERR4588745_db3.bracken.kraken2.report_bracken.txt
166	ERR4588494	166_ERR4588494_db3.bracken.kraken2.report_bracken.txt
167	ERR4588495	167_ERR4588495_db3.bracken.kraken2.report_bracken.txt
168	ERR4588496	168_ERR4588496_db3.bracken.kraken2.report_bracken.txt
169	ERR4588502	169_ERR4588502_db3.bracken.kraken2.report_bracken.txt
170	ERR4588504	170_ERR4588504_db3.bracken.kraken2.report_bracken.txt
171	ERR4588506	171_ERR4588506_db3.bracken.kraken2.report_bracken.txt
172	ERR4588509	172_ERR4588509_db3.bracken.kraken2.report_bracken.txt
173	ERR4588510	173_ERR4588510_db3.bracken.kraken2.report_bracken.txt
174	ERR4588517	174_ERR4588517_db3.bracken.kraken2.report_bracken.txt
175	ERR4588519	175_ERR4588519_db3.bracken.kraken2.report_bracken.txt
176	ERR4588528	176_ERR4588528_db3.bracken.kraken2.report_bracken.txt
177	ERR4588530	177_ERR4588530_db3.bracken.kraken2.report_bracken.txt
178	ERR4588532	178_ERR4588532_db3.bracken.kraken2.report_bracken.txt
179	ERR4588535	179_ERR4588535_db3.bracken.kraken2.report_bracken.txt
180	ERR4588537	180_ERR4588537_db3.bracken.kraken2.report_bracken.txt
181	ERR4588543	181_ERR4588543_db3.bracken.kraken2.report_bracken.txt
182	ERR4588556	182_ERR4588556_db3.bracken.kraken2.report_bracken.txt
183	ERR4588562	183_ERR4588562_db3.bracken.kraken2.report_bracken.txt
184	ERR4588564	184_ERR4588564_db3.bracken.kraken2.report_bracken.txt
185	ERR4588566	185_ERR4588566_db3.bracken.kraken2.report_bracken.txt
186	ERR4588570	186_ERR4588570_db3.bracken.kraken2.report_bracken.txt
187	ERR4588572	187_ERR4588572_db3.bracken.kraken2.report_bracken.txt
188	ERR4588573	188_ERR4588573_db3.bracken.kraken2.report_bracken.txt
189	ERR4588575	189_ERR4588575_db3.bracken.kraken2.report_bracken.txt
190	ERR4588577	190_ERR4588577_db3.bracken.kraken2.report_bracken.txt
191	ERR4588582	191_ERR4588582_db3.bracken.kraken2.report_bracken.txt
192	ERR4588583	192_ERR4588583_db3.bracken.kraken2.report_bracken.txt
193	ERR4588584	193_ERR4588584_db3.bracken.kraken2.report_bracken.txt
194	ERR4588589	194_ERR4588589_db3.bracken.kraken2.report_bracken.txt
