trait;type;category;;;
assimilation: L-tryptophan;discreto;sem_relevancia;;;
assimilation: L-valine;discreto;sem_relevancia;;;
assimilation: N-acetyl-D-glucosamine;discreto;sem_relevancia;;;
assimilation: N-acetylglucosamine;discreto;sem_relevancia;;;
assimilation: acetamide;discreto;sem_relevancia;;;
assimilation: acetate;discreto;sem_relevancia;;;
assimilation: acetic acid;discreto;sem_relevancia;;;
assimilation: acetoacetate;discreto;sem_relevancia;;;
assimilation: acetoin;discreto;sem_relevancia;;;
assimilation: acrylate;discreto;sem_relevancia;;;
assimilation: adenine;discreto;sem_relevancia;;;
assimilation: adenosine;discreto;sem_relevancia;;;
assimilation: adipate;discreto;sem_relevancia;;;
assimilation: alanine;discreto;sem_relevancia;;;
assimilation: allantoin;discreto;sem_relevancia;;;
assimilation: alpha-D-glucose;discreto;sem_relevancia;;;
assimilation: alpha-D-glucose 6-phosphate;discreto;sem_relevancia;;;
assimilation: alpha-hydroxybutyrate;discreto;sem_relevancia;;;
assimilation: alpha-hydroxyglutarate-gamma-lactone;discreto;sem_relevancia;;;
assimilation: alpha-lactose;discreto;sem_relevancia;;;
assimilation: amikacin;discreto;sem_relevancia;;;
assimilation: amino acid;discreto;sem_relevancia;;;
assimilation: ammonia;discreto;sem_relevancia;;;
assimilation: ammonium nitrate;discreto;sem_relevancia;;;
assimilation: ampicillin;discreto;sem_relevancia;;;
assimilation: amygdalin;discreto;sem_relevancia;;;
assimilation: arabinitol;discreto;sem_relevancia;;;
assimilation: arabinose;discreto;sem_relevancia;;;
assimilation: arbutin;discreto;sem_relevancia;;;
assimilation: arginine;discreto;sem_relevancia;;;
assimilation: ascorbate;discreto;sem_relevancia;;;
assimilation: asparagine;discreto;sem_relevancia;;;
assimilation: aspartate;discreto;sem_relevancia;;;
assimilation: azelaate;discreto;sem_relevancia;;;
assimilation: aztreonam;discreto;sem_relevancia;;;
assimilation: beef extract;discreto;sem_relevancia;;;
assimilation: benzoate;discreto;sem_relevancia;;;
assimilation: beta-D-fucose;discreto;sem_relevancia;;;
assimilation: beta-D-galacto-pyranosyl-D-arabinose;discreto;sem_relevancia;;;
assimilation: beta-D-galactoside;discreto;sem_relevancia;;;
assimilation: beta-D-glucuronic acid;discreto;sem_relevancia;;;
assimilation: beta-alanine;discreto;sem_relevancia;;;
assimilation: beta-d-glucose;discreto;sem_relevancia;;;
assimilation: beta-gentiobiose;discreto;sem_relevancia;;;
assimilation: beta-hydroxybutyrate;discreto;sem_relevancia;;;
assimilation: betaine;discreto;sem_relevancia;;;
assimilation: bromosuccinate;discreto;sem_relevancia;;;
assimilation: butamine;discreto;sem_relevancia;;;
assimilation: butanol;discreto;sem_relevancia;;;
assimilation: butyrate;discreto;sem_relevancia;;;
assimilation: calcium malate;discreto;sem_relevancia;;;
assimilation: carbon dioxide;discreto;sem_relevancia;;;
assimilation: carnitine;discreto;sem_relevancia;;;
assimilation: casamino acids;discreto;sem_relevancia;;;
assimilation: choline;discreto;sem_relevancia;;;
assimilation: cis-aconitate;discreto;sem_relevancia;;;
assimilation: citraconate;discreto;sem_relevancia;;;
assimilation: citrate;discreto;sem_relevancia;;;
assimilation: citric acid;discreto;sem_relevancia;;;
assimilation: cobalamin;discreto;sem_relevancia;;;
assimilation: coumarate;discreto;sem_relevancia;;;
assimilation: creatine;discreto;sem_relevancia;;;
assimilation: crotonate;discreto;sem_relevancia;;;
assimilation: cysteine;discreto;sem_relevancia;;;
assimilation: decanoate;discreto;sem_relevancia;;;
assimilation: dihydrogen;discreto;sem_relevancia;;;
assimilation: dimethyl sulfoxide;discreto;sem_relevancia;;;
assimilation: dinitrogen;discreto;sem_relevancia;;;
assimilation: disodium fumarate;discreto;sem_relevancia;;;
assimilation: disodium malate;discreto;sem_relevancia;;;
assimilation: dodecanoate;discreto;sem_relevancia;;;
assimilation: elemental sulfur;discreto;sem_relevancia;;;
assimilation: erythritol;discreto;sem_relevancia;;;
assimilation: esculin;discreto;sem_relevancia;;;
assimilation: esculin ferric citrate;discreto;sem_relevancia;;;
assimilation: ethanol;discreto;sem_relevancia;;;
assimilation: exopolysaccharide;discreto;sem_relevancia;;;
assimilation: ferric citrate;discreto;sem_relevancia;;;
assimilation: formate;discreto;sem_relevancia;;;
assimilation: fructose;discreto;sem_relevancia;;;
assimilation: fucose;discreto;sem_relevancia;;;
assimilation: fumarate;discreto;sem_relevancia;;;
assimilation: galactitol;discreto;sem_relevancia;;;
assimilation: galactose;discreto;sem_relevancia;;;
assimilation: galacturonate;discreto;sem_relevancia;;;
assimilation: gamma-aminobutyric acid;discreto;sem_relevancia;;;
assimilation: gluconate;discreto;sem_relevancia;;;
assimilation: glucosamine;discreto;sem_relevancia;;;
assimilation: glucose;discreto;sem_relevancia;;;
assimilation: glucuronamide;discreto;sem_relevancia;;;
assimilation: glutamate;discreto;sem_relevancia;;;
assimilation: glutamyl-glutamic acid;discreto;sem_relevancia;;;
assimilation: glutathione;discreto;sem_relevancia;;;
assimilation: glycerol;discreto;sem_relevancia;;;
assimilation: glycerol 1-phosphate;discreto;sem_relevancia;;;
assimilation: glycine;discreto;sem_relevancia;;;
assimilation: glycine-proline;discreto;sem_relevancia;;;
assimilation: glycolate;discreto;sem_relevancia;;;
assimilation: glycyl L-aspartic acid;discreto;sem_relevancia;;;
assimilation: glycyl-L-proline;discreto;sem_relevancia;;;
assimilation: glycyl-l-glutamate;discreto;sem_relevancia;;;
assimilation: glycylglycine;discreto;sem_relevancia;;;
assimilation: glycylglycylglycine;discreto;sem_relevancia;;;
assimilation: glyoxylate;discreto;sem_relevancia;;;
assimilation: hexanoate;discreto;sem_relevancia;;;
assimilation: hippurate;discreto;sem_relevancia;;;
assimilation: hydantoin;discreto;sem_relevancia;;;
assimilation: hydrogen sulfide;discreto;sem_relevancia;;;
assimilation: hypoxanthine;discreto;sem_relevancia;;;
assimilation: indole;discreto;sem_relevancia;;;
assimilation: inosine;discreto;sem_relevancia;;;
assimilation: isobutyrate;discreto;sem_relevancia;;;
assimilation: itaconate;discreto;sem_relevancia;;;
assimilation: lactate;discreto;sem_relevancia;;;
assimilation: lactose;discreto;sem_relevancia;;;
assimilation: malate;discreto;sem_relevancia;;;
assimilation: malonate;discreto;sem_relevancia;;;
assimilation: maltose;discreto;sem_relevancia;;;
assimilation: mannitol;discreto;sem_relevancia;;;
assimilation: mannose;discreto;sem_relevancia;;;
assimilation: meat extract;discreto;sem_relevancia;;;
assimilation: melezitose;discreto;sem_relevancia;;;
assimilation: melibiose;discreto;sem_relevancia;;;
assimilation: methanol;discreto;sem_relevancia;;;
assimilation: methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
assimilation: milk;discreto;sem_relevancia;;;
assimilation: monomethyl succinate;discreto;sem_relevancia;;;
assimilation: myo-inositol;discreto;sem_relevancia;;;
assimilation: peptone;discreto;sem_relevancia;;;
assimilation: phenylacetate;discreto;sem_relevancia;;;
assimilation: phenylalanine;discreto;sem_relevancia;;;
assimilation: potassium 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
assimilation: potassium gluconate;discreto;sem_relevancia;;;
assimilation: propionate;discreto;sem_relevancia;;;
assimilation: pyruvate;discreto;sem_relevancia;;;
assimilation: quercetin;discreto;sem_relevancia;;;
assimilation: raffinose;discreto;sem_relevancia;;;
assimilation: ribitol;discreto;sem_relevancia;;;
assimilation: sodium citrate;discreto;sem_relevancia;;;
assimilation: sodium pyruvate;discreto;sem_relevancia;;;
assimilation: sorbitol;discreto;sem_relevancia;;;
assimilation: succinate;discreto;sem_relevancia;;;
assimilation: sucrose;discreto;sem_relevancia;;;
assimilation: threonine;discreto;sem_relevancia;;;
assimilation: tyrosine;discreto;sem_relevancia;;;
assimilation: valerate;discreto;sem_relevancia;;;
assimilation: xylose;discreto;sem_relevancia;;;
biosafety level;discreto;sem_relevancia;;;
builds acid from: (+)-D-arabitol;discreto;sem_relevancia;;;
builds acid from: (+)-D-fucose;discreto;sem_relevancia;;;
builds acid from: (+)-D-galactose;discreto;sem_relevancia;;;
builds acid from: (+)-D-glucose;discreto;sem_relevancia;;;
builds acid from: (+)-D-glycogen;discreto;sem_relevancia;;;
builds acid from: (+)-L-rhamnose;discreto;sem_relevancia;;;
builds acid from: (-)-D-fructose;discreto;sem_relevancia;;;
builds acid from: (-)-D-glucose;discreto;sem_relevancia;;;
builds acid from: (-)-D-rhamnose;discreto;sem_relevancia;;;
builds acid from: (-)-D-ribose;discreto;sem_relevancia;;;
builds acid from: (-)-D-sorbitol;discreto;sem_relevancia;;;
builds acid from: (-)-L-sorbose;discreto;sem_relevancia;;;
builds acid from: (-)-L-xylose;discreto;sem_relevancia;;;
builds acid from: (R)-amygdalin;discreto;sem_relevancia;;;
builds acid from: (S)-lactate;discreto;sem_relevancia;;;
builds acid from: 1 % sodium lactate;discreto;sem_relevancia;;;
builds acid from: 1;3-beta-d-glucan;discreto;sem_relevancia;;
builds acid from: 2'-deoxyinosine;discreto;sem_relevancia;;;
builds acid from: 2;3-butanediol;discreto;sem_relevancia;;
builds acid from: 2-dehydro-D-gluconate;discreto;sem_relevancia;;;
builds acid from: 2-deoxy-d-ribose;discreto;sem_relevancia;;;
builds acid from: 2-hydroxybutyrate;discreto;sem_relevancia;;;
builds acid from: 2-naphthyl dihydrogen phosphate;discreto;sem_relevancia;;;
builds acid from: 2-oxogluconate;discreto;sem_relevancia;;;
builds acid from: 2-oxoglutarate;discreto;sem_relevancia;;;
builds acid from: 3-O-methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
builds acid from: 3-O-methyl-D-glucose;discreto;sem_relevancia;;;
builds acid from: 3-[(4-nitrophenyl)carbamoylamino]propanoic acid;discreto;sem_relevancia;;;
builds acid from: 3-hydroxybenzoate;discreto;sem_relevancia;;;
builds acid from: 3-hydroxybutyrate;discreto;sem_relevancia;;;
builds acid from: 4-hydroxyphenylacetic acid;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl alpha-D-galactoside;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl beta-D-galactopyranoside;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl beta-D-galactopyranoside hydrolysate;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl beta-D-glucopyranoside;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl beta-D-glucuronide;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl beta-D-xylopyranoside;discreto;sem_relevancia;;;
builds acid from: 4-nitrophenyl-alpha-D-maltopyranoside;discreto;sem_relevancia;;;
builds acid from: 5-bromo-3-indolyl nonanoate;discreto;sem_relevancia;;;
builds acid from: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
builds acid from: Amygdalin;discreto;sem_relevancia;;;
builds acid from: Arbutin;discreto;sem_relevancia;;;
builds acid from: Cellobiose;discreto;sem_relevancia;;;
builds acid from: D-Adonitol;discreto;sem_relevancia;;;
builds acid from: D-Arabinose;discreto;sem_relevancia;;;
builds acid from: D-Arabitol;discreto;sem_relevancia;;;
builds acid from: D-Fucose;discreto;sem_relevancia;;;
builds acid from: D-Galactose;discreto;sem_relevancia;;;
builds acid from: D-arabinose;discreto;sem_relevancia;;;
builds acid from: D-arabitol;discreto;sem_relevancia;;;
builds acid from: D-aspartate;discreto;sem_relevancia;;;
builds acid from: D-fructose;discreto;sem_relevancia;;;
builds acid from: D-fructose 6-phosphate;discreto;sem_relevancia;;;
builds acid from: D-fucose;discreto;sem_relevancia;;;
builds acid from: D-galactose;discreto;sem_relevancia;;;
builds acid from: D-galacturonic acid;discreto;sem_relevancia;;;
builds acid from: D-glucarate;discreto;sem_relevancia;;;
builds acid from: D-gluconate;discreto;sem_relevancia;;;
builds acid from: D-glucose;discreto;sem_relevancia;;;
builds acid from: D-glucose 6-phosphate;discreto;sem_relevancia;;;
builds acid from: D-glucuronate;discreto;sem_relevancia;;;
builds acid from: D-glycerate;discreto;sem_relevancia;;;
builds acid from: D-lyxose;discreto;sem_relevancia;;;
builds acid from: D-malate;discreto;sem_relevancia;;;
builds acid from: D-mannitol;discreto;sem_relevancia;;;
builds acid from: D-mannose;discreto;sem_relevancia;;;
builds acid from: D-rhamnose;discreto;sem_relevancia;;;
builds acid from: D-ribose;discreto;sem_relevancia;;;
builds acid from: D-salicin;discreto;sem_relevancia;;;
builds acid from: D-sorbitol;discreto;sem_relevancia;;;
builds acid from: D-sorbose;discreto;sem_relevancia;;;
builds acid from: D-tagatose;discreto;sem_relevancia;;;
builds acid from: D-trehalose;discreto;sem_relevancia;;;
builds acid from: D-xylose;discreto;sem_relevancia;;;
builds acid from: L-arabinose;discreto;sem_relevancia;;;
builds acid from: L-arabitol;discreto;sem_relevancia;;;
builds acid from: L-fucose;discreto;sem_relevancia;;;
builds acid from: L-rhamnose;discreto;sem_relevancia;;;
builds acid from: L-sorbose;discreto;sem_relevancia;;;
builds acid from: L-xylose;discreto;sem_relevancia;;;
builds acid from: N-acetylgalactosamine;discreto;sem_relevancia;;;
builds acid from: N-acetylglucosamine;discreto;sem_relevancia;;;
builds acid from: acetate;discreto;sem_relevancia;;;
builds acid from: acetoacetate;discreto;sem_relevancia;;;
builds acid from: adipate;discreto;sem_relevancia;;;
builds acid from: alpha-D-glucose;discreto;sem_relevancia;;;
builds acid from: alpha-cyclodextrin;discreto;sem_relevancia;;;
builds acid from: alpha-lactose;discreto;sem_relevancia;;;
builds acid from: altrarate;discreto;sem_relevancia;;;
builds acid from: amygdalin;discreto;sem_relevancia;;;
builds acid from: arabinan;discreto;sem_relevancia;;;
builds acid from: arabinitol;discreto;sem_relevancia;;;
builds acid from: arabinose;discreto;sem_relevancia;;;
builds acid from: arabinoxylan;discreto;sem_relevancia;;;
builds acid from: arbutin;discreto;sem_relevancia;;;
builds acid from: arginine;discreto;sem_relevancia;;;
builds acid from: benzoate;discreto;sem_relevancia;;;
builds acid from: beta-D-xylose;discreto;sem_relevancia;;;
builds acid from: beta-d-glucose;discreto;sem_relevancia;;;
builds acid from: beta-gentiobiose;discreto;sem_relevancia;;;
builds acid from: beta-lactose;discreto;sem_relevancia;;;
builds acid from: butanol;discreto;sem_relevancia;;;
builds acid from: butyrate;discreto;sem_relevancia;;;
builds acid from: carboxymethylcellulose;discreto;sem_relevancia;;;
builds acid from: casein;discreto;sem_relevancia;;;
builds acid from: cellobiose;discreto;sem_relevancia;;;
builds acid from: cellulose;discreto;sem_relevancia;;;
builds acid from: chitosan;discreto;sem_relevancia;;;
builds acid from: cholesterol;discreto;sem_relevancia;;;
builds acid from: citraconate;discreto;sem_relevancia;;;
builds acid from: citramalate;discreto;sem_relevancia;;;
builds acid from: citrate;discreto;sem_relevancia;;;
builds acid from: citric acid;discreto;sem_relevancia;;;
builds acid from: creatine;discreto;sem_relevancia;;;
builds acid from: cyclodextrin;discreto;sem_relevancia;;;
builds acid from: dextran;discreto;sem_relevancia;;;
builds acid from: dextrin;discreto;sem_relevancia;;;
builds acid from: erythritol;discreto;sem_relevancia;;;
builds acid from: esculin;discreto;sem_relevancia;;;
builds acid from: esculin ferric citrate;discreto;sem_relevancia;;;
builds acid from: ethanol;discreto;sem_relevancia;;;
builds acid from: ferric citrate;discreto;sem_relevancia;;;
builds acid from: fructose;discreto;sem_relevancia;;;
builds acid from: fucose;discreto;sem_relevancia;;;
builds acid from: galactitol;discreto;sem_relevancia;;;
builds acid from: galactose;discreto;sem_relevancia;;;
builds acid from: galacturonate;discreto;sem_relevancia;;;
builds acid from: gelatin;discreto;sem_relevancia;;;
builds acid from: gentiobiose;discreto;sem_relevancia;;;
builds acid from: gluconate;discreto;sem_relevancia;;;
builds acid from: glucosamine;discreto;sem_relevancia;;;
builds acid from: glucose;discreto;sem_relevancia;;;
builds acid from: glucose 1-phosphate;discreto;sem_relevancia;;;
builds acid from: glycerol;discreto;sem_relevancia;;;
builds acid from: glycerol 3-phosphate;discreto;sem_relevancia;;;
builds acid from: glycogen;discreto;sem_relevancia;;;
builds acid from: inulin;discreto;sem_relevancia;;;
builds acid from: lactose;discreto;sem_relevancia;;;
builds acid from: malonate;discreto;sem_relevancia;;;
builds acid from: maltose;discreto;sem_relevancia;;;
builds acid from: maltose hydrate;discreto;sem_relevancia;;;
builds acid from: mannitol;discreto;sem_relevancia;;;
builds acid from: mannose;discreto;sem_relevancia;;;
builds acid from: melezitose;discreto;sem_relevancia;;;
builds acid from: melibiose;discreto;sem_relevancia;;;
builds acid from: methyl D-glucoside;discreto;sem_relevancia;;;
builds acid from: methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
builds acid from: methyl alpha-D-mannoside;discreto;sem_relevancia;;;
builds acid from: methyl beta-D-glucopyranoside;discreto;sem_relevancia;;;
builds acid from: methyl beta-D-xylopyranoside;discreto;sem_relevancia;;;
builds acid from: myo-inositol;discreto;sem_relevancia;;;
builds acid from: potassium 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
builds acid from: potassium gluconate;discreto;sem_relevancia;;;
builds acid from: pullulan;discreto;sem_relevancia;;;
builds acid from: raffinose;discreto;sem_relevancia;;;
builds acid from: rhamnose;discreto;sem_relevancia;;;
builds acid from: ribitol;discreto;sem_relevancia;;;
builds acid from: ribose;discreto;sem_relevancia;;;
builds acid from: salicin;discreto;sem_relevancia;;;
builds acid from: sorbose;discreto;sem_relevancia;;;
builds acid from: starch;discreto;sem_relevancia;;;
builds acid from: sucrose;discreto;sem_relevancia;;;
builds acid from: trehalose;discreto;sem_relevancia;;;
builds base from: (S)-lactate;discreto;sem_relevancia;;;
builds base from: 2-dehydro-D-gluconate;discreto;sem_relevancia;;;
builds base from: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
builds base from: D-glucose;discreto;sem_relevancia;;;
builds base from: acetamide;discreto;sem_relevancia;;;
builds base from: acetate;discreto;sem_relevancia;;;
builds base from: adipate;discreto;sem_relevancia;;;
builds base from: allantoin;discreto;sem_relevancia;;;
builds base from: betaine;discreto;sem_relevancia;;;
builds base from: citrate;discreto;sem_relevancia;;;
builds gas from: (+)-D-glucose;discreto;sem_relevancia;;;
builds gas from: (-)-D-fructose;discreto;sem_relevancia;;;
builds gas from: D-fructose;discreto;sem_relevancia;;;
builds gas from: D-galactose;discreto;sem_relevancia;;;
builds gas from: D-glucose;discreto;sem_relevancia;;;
builds gas from: D-mannose;discreto;sem_relevancia;;;
builds gas from: D-ribose;discreto;sem_relevancia;;;
builds gas from: amygdalin;discreto;sem_relevancia;;;
builds gas from: arabinose;discreto;sem_relevancia;;;
builds gas from: arbutin;discreto;sem_relevancia;;;
builds gas from: cellobiose;discreto;sem_relevancia;;;
builds gas from: fructose;discreto;sem_relevancia;;;
builds gas from: galactose;discreto;sem_relevancia;;;
builds gas from: glucose;discreto;sem_relevancia;;;
builds gas from: sodium thiosulfate;discreto;sem_relevancia;;;
carbon source: (+)-D-galactose;discreto;sem_relevancia;;;
carbon source: (+)-L-lyxitol;discreto;sem_relevancia;;;
carbon source: (-)-D-fructose;discreto;sem_relevancia;;;
carbon source: (-)-D-rhamnose;discreto;sem_relevancia;;;
carbon source: (-)-quinic acid;discreto;sem_relevancia;;;
carbon source: (2)-D-lactose;discreto;sem_relevancia;;;
carbon source: (R)-amygdalin;discreto;sem_relevancia;;;
carbon source: (R)-lactate;discreto;sem_relevancia;;;
carbon source: (R)-malic acid;discreto;sem_relevancia;;;
carbon source: (R)-mandelate;discreto;sem_relevancia;;;
carbon source: (S)-lactate;discreto;sem_relevancia;;;
carbon source: (S)-malic acid;discreto;sem_relevancia;;;
carbon source: (S)-mandelic acid;discreto;sem_relevancia;;;
carbon source: 1 % sodium lactate;discreto;sem_relevancia;;;
carbon source: 1;2-propandiol;discreto;sem_relevancia;;
carbon source: 1;4-propandiol;discreto;sem_relevancia;;
carbon source: 2;2-dimethylsuccinic acid;discreto;sem_relevancia;;
carbon source: 2;3-butanediol;discreto;sem_relevancia;;
carbon source: 2;4-butanediol;discreto;sem_relevancia;;
carbon source: 2-aminobenzoate;discreto;sem_relevancia;;;
carbon source: 2-aminobutyrate;discreto;sem_relevancia;;;
carbon source: 2-aminopentanoic acid;discreto;sem_relevancia;;;
carbon source: 2-butanol;discreto;sem_relevancia;;;
carbon source: 2-dehydro-D-gluconate;discreto;sem_relevancia;;;
carbon source: 2-deoxy-d-ribose;discreto;sem_relevancia;;;
carbon source: 2-deoxyadenosine;discreto;sem_relevancia;;;
carbon source: 2-hydroxybutyrate;discreto;sem_relevancia;;;
carbon source: 2-oxobutanoate;discreto;sem_relevancia;;;
carbon source: 2-oxogluconate;discreto;sem_relevancia;;;
carbon source: 2-oxoglutarate;discreto;sem_relevancia;;;
carbon source: 2-oxopentanoate;discreto;sem_relevancia;;;
carbon source: 2-propanol;discreto;sem_relevancia;;;
carbon source: 3-O-methyl alpha-D-glucopyranoside;discreto;sem_relevancia;;;
carbon source: 3-O-methyl-D-glucose;discreto;sem_relevancia;;;
carbon source: 3-O-methylgallate;discreto;sem_relevancia;;;
carbon source: 3-aminobenzoate;discreto;sem_relevancia;;;
carbon source: 3-aminobutyrate;discreto;sem_relevancia;;;
carbon source: 3-coumarate;discreto;sem_relevancia;;;
carbon source: 3-hydroxybenzoate;discreto;sem_relevancia;;;
carbon source: 3-hydroxybutyrate;discreto;sem_relevancia;;;
carbon source: 3-methylglucose;discreto;sem_relevancia;;;
carbon source: 3-nitropropanoate;discreto;sem_relevancia;;;
carbon source: 3-phenylpropionate;discreto;sem_relevancia;;;
carbon source: 4-aminobutyrate;discreto;sem_relevancia;;;
carbon source: 4-coumarate;discreto;sem_relevancia;;;
carbon source: 4-hydroxy-L-proline;discreto;sem_relevancia;;;
carbon source: 4-hydroxybenzoate;discreto;sem_relevancia;;;
carbon source: 4-hydroxybutyrate;discreto;sem_relevancia;;;
carbon source: 4-hydroxyphenylacetic acid;discreto;sem_relevancia;;;
carbon source: 4-oxopentanoate;discreto;sem_relevancia;;;
carbon source: 5-aminovaleric acid;discreto;sem_relevancia;;;
carbon source: 5-dehydro-D-gluconate;discreto;sem_relevancia;;;
carbon source: 5-oxoproline;discreto;sem_relevancia;;;
carbon source: 6-deoxy-d-galactose;discreto;sem_relevancia;;;
carbon source: D-alanine;discreto;sem_relevancia;;;
carbon source: D-arabinose;discreto;sem_relevancia;;;
carbon source: D-arabitol;discreto;sem_relevancia;;;
carbon source: D-aspartate;discreto;sem_relevancia;;;
carbon source: D-fructose;discreto;sem_relevancia;;;
carbon source: D-fructose 6-phosphate;discreto;sem_relevancia;;;
carbon source: D-fucose;discreto;sem_relevancia;;;
carbon source: D-galactonic acid lactone;discreto;sem_relevancia;;;
carbon source: D-galactose;discreto;sem_relevancia;;;
carbon source: D-galacturonic acid;discreto;sem_relevancia;;;
carbon source: D-glucarate;discreto;sem_relevancia;;;
carbon source: D-gluconate;discreto;sem_relevancia;;;
carbon source: D-glucosamine;discreto;sem_relevancia;;;
carbon source: D-glucose;discreto;sem_relevancia;;;
carbon source: D-glucose 6-phosphate;discreto;sem_relevancia;;;
carbon source: D-glucuronate;discreto;sem_relevancia;;;
carbon source: D-histidine;discreto;sem_relevancia;;;
carbon source: D-lactate;discreto;sem_relevancia;;;
carbon source: D-lactic acid methyl ester;discreto;sem_relevancia;;;
carbon source: D-lyxose;discreto;sem_relevancia;;;
carbon source: D-malate;discreto;sem_relevancia;;;
carbon source: D-mannitol;discreto;sem_relevancia;;;
carbon source: D-mannose;discreto;sem_relevancia;;;
carbon source: D-methionine;discreto;sem_relevancia;;;
carbon source: D-rhamnose;discreto;sem_relevancia;;;
carbon source: D-ribose;discreto;sem_relevancia;;;
carbon source: D-salicin;discreto;sem_relevancia;;;
carbon source: D-serine;discreto;sem_relevancia;;;
carbon source: D-sorbitol;discreto;sem_relevancia;;;
carbon source: D-sorbose;discreto;sem_relevancia;;;
carbon source: D-trehalose;discreto;sem_relevancia;;;
carbon source: D-tryptophan;discreto;sem_relevancia;;;
carbon source: D-xylose;discreto;sem_relevancia;;;
carbon source: DL-carnitine;discreto;sem_relevancia;;;
carbon source: L-alaninamide;discreto;sem_relevancia;;;
carbon source: L-alanine;discreto;sem_relevancia;;;
carbon source: L-arabinose;discreto;sem_relevancia;;;
carbon source: L-arabitol;discreto;sem_relevancia;;;
carbon source: L-arginine;discreto;sem_relevancia;;;
carbon source: L-aspartate;discreto;sem_relevancia;;;
carbon source: L-cysteine;discreto;sem_relevancia;;;
carbon source: L-fucose;discreto;sem_relevancia;;;
carbon source: L-glutamate;discreto;sem_relevancia;;;
carbon source: L-glutamine;discreto;sem_relevancia;;;
carbon source: L-histidine;discreto;sem_relevancia;;;
carbon source: L-inositol;discreto;sem_relevancia;;;
carbon source: L-lyxose;discreto;sem_relevancia;;;
carbon source: L-proline;discreto;sem_relevancia;;;
carbon source: L-rhamnose;discreto;sem_relevancia;;;
carbon source: L-serine;discreto;sem_relevancia;;;
carbon source: N-acetylglucosamine;discreto;sem_relevancia;;;
carbon source: acetamide;discreto;sem_relevancia;;;
carbon source: acetate;discreto;sem_relevancia;;;
carbon source: acetic acid;discreto;sem_relevancia;;;
carbon source: acetoacetate;discreto;sem_relevancia;;;
carbon source: acetone;discreto;sem_relevancia;;;
carbon source: acetylsalicylate;discreto;sem_relevancia;;;
carbon source: aconitate;discreto;sem_relevancia;;;
carbon source: adenine;discreto;sem_relevancia;;;
carbon source: adenosine;discreto;sem_relevancia;;;
carbon source: adenosine 5'-monophosphate;discreto;sem_relevancia;;;
carbon source: adipate;discreto;sem_relevancia;;;
carbon source: alanine;discreto;sem_relevancia;;;
carbon source: alpha-D-glucose;discreto;sem_relevancia;;;
carbon source: alpha-D-glucose 6-phosphate;discreto;sem_relevancia;;;
carbon source: alpha-L-rhamnose;discreto;sem_relevancia;;;
carbon source: alpha-hydroxybutyrate;discreto;sem_relevancia;;;
carbon source: alpha-hydroxyglutarate-gamma-lactone;discreto;sem_relevancia;;;
carbon source: alpha-lactose;discreto;sem_relevancia;;;
carbon source: amino acid;discreto;sem_relevancia;;;
carbon source: ammonium;discreto;sem_relevancia;;;
carbon source: ammonium chloride;discreto;sem_relevancia;;;
carbon source: ammonium nitrate;discreto;sem_relevancia;;;
carbon source: ammonium sulfate;discreto;sem_relevancia;;;
carbon source: amp;discreto;sem_relevancia;;;
carbon source: amygdalin;discreto;sem_relevancia;;;
carbon source: antipyrine;discreto;sem_relevancia;;;
carbon source: arabinitol;discreto;sem_relevancia;;;
carbon source: arabinose;discreto;sem_relevancia;;;
carbon source: arbutin;discreto;sem_relevancia;;;
carbon source: arginine;discreto;sem_relevancia;;;
carbon source: ascorbate;discreto;sem_relevancia;;;
carbon source: asparagine;discreto;sem_relevancia;;;
carbon source: aspartate;discreto;sem_relevancia;;;
carbon source: azelaate;discreto;sem_relevancia;;;
carbon source: aztreonam;discreto;sem_relevancia;;;
carbon source: benzoate;discreto;sem_relevancia;;;
carbon source: benzoin;discreto;sem_relevancia;;;
carbon source: beta lactose;discreto;sem_relevancia;;;
carbon source: beta-D-fructofuranose;discreto;sem_relevancia;;;
carbon source: beta-D-glucuronic acid;discreto;sem_relevancia;;;
carbon source: beta-alanine;discreto;sem_relevancia;;;
carbon source: beta-d-glucose;discreto;sem_relevancia;;;
carbon source: beta-gentiobiose;discreto;sem_relevancia;;;
carbon source: beta-hydroxybutyrate;discreto;sem_relevancia;;;
carbon source: beta-lactose;discreto;sem_relevancia;;;
carbon source: beta-phenylethylamine;discreto;sem_relevancia;;;
carbon source: betaine;discreto;sem_relevancia;;;
carbon source: bromosuccinate;discreto;sem_relevancia;;;
carbon source: butane-1;4-diol;discreto;sem_relevancia;;
carbon source: butanol;discreto;sem_relevancia;;;
