trait;type;category;;;
oxidation: pyrite;discreto;agronomico;;;
oxidation: sulfide;discreto;agronomico;;;
oxidation: thiosulfate;discreto;agronomico;;;
oxygen preference;discreto;agronomico;;;
pH growth;numerico;agronomico;;;
pH maximum;numerico;agronomico;;;
pH minimum;numerico;agronomico;;;
presence of motility;discreto;agronomico;;;
produces: ammonia;discreto;agronomico;;;
produces: ammonium;discreto;agronomico;;;
produces: cellulose;discreto;agronomico;;;
produces: dinitrogen;discreto;agronomico;;;
produces: dinitrogen oxide;discreto;agronomico;;;
produces: exopolysaccharide;discreto;agronomico;;;
produces: hydrogen sulfide;discreto;agronomico;;;
produces: indole-3-acetate;discreto;agronomico;;;
produces: indole-3-acetic acid;discreto;agronomico;;;
produces: methane;discreto;agronomico;;;
produces: methane from acetate;discreto;agronomico;;;
produces: methane from formate;discreto;agronomico;;;
produces: nitrate;discreto;agronomico;;;
produces: nitrite;discreto;agronomico;;;
produces: poly-beta-hydroxyalkanoate;discreto;agronomico;;;
produces: polyhydroxyalkanoate;discreto;agronomico;;;
produces: polyhydroxybutyrate;discreto;agronomico;;;
produces: polysaccharides;discreto;agronomico;;;
produces: pyochelin;discreto;agronomico;;;
produces: siderophore;discreto;agronomico;;;
psychrophilic;discreto;agronomico;;;
reduction: amorphous fe(iii) oxyhydroxid;discreto;agronomico;;;
reduction: amorphous iron (iii) oxide;discreto;agronomico;;;
reduction: elemental sulfur;discreto;agronomico;;;
reduction: ferric iron;discreto;agronomico;;;
reduction: ferric oxide;discreto;agronomico;;;
reduction: ferrihydrite;discreto;agronomico;;;
reduction: iron;discreto;agronomico;;;
reduction: nitrate;discreto;agronomico;;;
reduction: nitrite;discreto;agronomico;;;
reduction: sulfate;discreto;agronomico;;;
reduction: sulfite;discreto;agronomico;;;
reduction: thiosulfate;discreto;agronomico;;;
respiration: nitrate;discreto;agronomico;;;
respiration: nitrogen;discreto;agronomico;;;
salinity growth;numerico;agronomico;;;
salinity maximum;numerico;agronomico;;;
salinity minimum;numerico;agronomico;;;
salinity preference;discreto;agronomico;;;
sporulation;discreto;agronomico;;;
sulfur source: cysteine;discreto;agronomico;;;
sulfur source: elemental sulfur;discreto;agronomico;;;
temperature growth;numerico;agronomico;;;
temperature maximum;numerico;agronomico;;;
temperature minimum;numerico;agronomico;;;
temperature preference;discreto;agronomico;;;
thermophilic;discreto;agronomico;;;
aerobic growth: anoxygenic phototrophy;discreto;incerto;;;
assimilation: agar;discreto;incerto;;;
assimilation: alpha-cyclodextrin;discreto;incerto;;;
assimilation: amylose;discreto;incerto;;;
assimilation: arabinogalactan;discreto;incerto;;;
assimilation: benzene;discreto;incerto;;;
assimilation: carboxymethylcellulose;discreto;incerto;;;
assimilation: casein;discreto;incerto;;;
assimilation: casein hydrolysate;discreto;incerto;;;
assimilation: catechol;discreto;incerto;;;
assimilation: cellobiose;discreto;incerto;;;
assimilation: cellulose;discreto;incerto;;;
assimilation: chitin;discreto;incerto;;;
assimilation: chitosan;discreto;incerto;;;
assimilation: collagen;discreto;incerto;;;
assimilation: crystalline cellulose;discreto;incerto;;;
assimilation: cyclodextrin;discreto;incerto;;;
assimilation: dextrin;discreto;incerto;;;
assimilation: gamma-cyclodextrin;discreto;incerto;;;
assimilation: gelatin;discreto;incerto;;;
assimilation: glycogen;discreto;incerto;;;
assimilation: mannan;discreto;incerto;;;
capnophilic;discreto;incerto;;;
carbon source: 1-methylphenanthrene;discreto;incerto;;;
carbon source: agar;discreto;incerto;;;
carbon source: alginate;discreto;incerto;;;
